tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,38434,8446,7219387,137784,2017-08-01 16:23:56
892177421306343426,32929,6223,7219387,137784,2017-08-01 00:17:27
891815181378084864,24813,4125,7219387,137784,2017-07-31 00:18:03
891689557279858688,41785,8578,7219387,137784,2017-07-30 15:58:51
891327558926688256,39951,9307,7219387,137784,2017-07-29 16:00:24
891087950875897856,20053,3084,7219387,137784,2017-07-29 00:08:17
890971913173991426,11733,2051,7219387,137784,2017-07-28 16:27:12
890729181411237888,64900,18752,7219387,137784,2017-07-28 00:22:40
890609185150312448,27575,4234,7219387,137784,2017-07-27 16:25:51
890240255349198849,31638,7343,7219387,137784,2017-07-26 15:59:51
890006608113172480,30400,7278,7219387,137784,2017-07-26 00:31:25
889880896479866881,27540,4937,7220083,137785,2017-07-25 16:11:53
889665388333682689,47697,9984,7219387,137784,2017-07-25 01:55:32
889638837579907072,26922,4504,7219387,137784,2017-07-25 00:10:02
889531135344209921,14964,2222,7219387,137784,2017-07-24 17:02:04
889278841981685760,25077,5377,7219387,137784,2017-07-24 00:19:32
888917238123831296,28834,4469,7219387,137784,2017-07-23 00:22:39
888804989199671297,25368,4287,7219387,137784,2017-07-22 16:56:37
888554962724278272,19700,3553,7219387,137784,2017-07-22 00:23:06
888078434458587136,21565,3470,7219387,137784,2017-07-20 16:49:33
887705289381826560,29903,5345,7219387,137784,2017-07-19 16:06:48
887517139158093824,45849,11590,7219387,137784,2017-07-19 03:39:09
887473957103951883,68508,18059,7220083,137785,2017-07-19 00:47:34
887343217045368832,33391,10320,7219387,137784,2017-07-18 16:08:03
887101392804085760,30277,5919,7219387,137784,2017-07-18 00:07:08
886983233522544640,34868,7719,7219387,137784,2017-07-17 16:17:36
886736880519319552,11952,3268,7219387,137784,2017-07-16 23:58:41
886680336477933568,22236,4434,7219387,137784,2017-07-16 20:14:00
886366144734445568,21009,3176,7220083,137785,2017-07-15 23:25:31
886267009285017600,116,4,7219387,137784,2017-07-15 16:51:35
886258384151887873,27746,6229,7219387,137784,2017-07-15 16:17:19
886054160059072513,0,104,7219387,137784,2017-07-15 02:45:48
885984800019947520,32414,6765,7219388,137784,2017-07-14 22:10:11
885528943205470208,35665,6382,7219388,137784,2017-07-13 15:58:47
885518971528720385,20251,3735,7219388,137784,2017-07-13 15:19:09
885311592912609280,0,18475,7219388,137784,2017-07-13 01:35:06
885167619883638784,21753,4353,7219388,137784,2017-07-12 16:03:00
884925521741709313,76844,18312,7219388,137784,2017-07-12 00:01:00
884876753390489601,27695,5744,7219388,137784,2017-07-11 20:47:12
884562892145688576,24088,4835,7219388,137784,2017-07-11 00:00:02
